family,gene_name,comment,gene_function
cornified_envelope_precursor_family,IVL,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LORICRIN,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR1A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR1B,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2B,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2C,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2D,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2E,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2F,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR2G,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR3,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,SPRR4,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1B,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1C,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1D,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1E,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE1F,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE2A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE2B,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE2C,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE2D,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE3A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE3B,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE3C,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE3D,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE3E,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE4A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE5A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,LCE6A,NA,epidermal_differentiation_complex
cornified_envelope_precursor_family,C1orf68,LEP7,epidermal_differentiation_complex
sftp_family,FLG,NA,epidermal_differentiation_complex
sftp_family,FLG2,NA,epidermal_differentiation_complex
sftp_family,TCHH,NA,epidermal_differentiation_complex
sftp_family,TCHHL1,NA,epidermal_differentiation_complex
sftp_family,CRNN,NA,epidermal_differentiation_complex
sftp_family,RPTN,NA,epidermal_differentiation_complex
sftp_family,HRNR,NA,epidermal_differentiation_complex
s100_family,S100A1,NA,epidermal_differentiation_complex
s100_family,S100A2,NA,epidermal_differentiation_complex
s100_family,S100A3,NA,epidermal_differentiation_complex
s100_family,S100A4,NA,epidermal_differentiation_complex
s100_family,S100A5,NA,epidermal_differentiation_complex
s100_family,S100A6,NA,epidermal_differentiation_complex
s100_family,S100A7,NA,epidermal_differentiation_complex
s100_family,S100A8,NA,epidermal_differentiation_complex
s100_family,S100A9,NA,epidermal_differentiation_complex
s100_family,S100A10,NA,epidermal_differentiation_complex
s100_family,S100A11,NA,epidermal_differentiation_complex
s100_family,S100A12,NA,epidermal_differentiation_complex
s100_family,S100A13,NA,epidermal_differentiation_complex
s100_family,S100A14,NA,epidermal_differentiation_complex
s100_family,S100A16,NA,epidermal_differentiation_complex
